,precision@5,recall@5,f1@5,ndcg@5,map@5,precision@10,recall@10,f1@10,ndcg@10,map@10
B1_Random,0.5550000071525574,0.26731932163238525,0.3608384685132428,0.5607499348510645,0.7159793083900227,0.5360000133514404,0.5117304921150208,0.5235841593940298,0.5737483706723554,0.654315803728899
B2_Popularity,0.7240000367164612,0.3521627187728882,0.47384248832620146,0.7411572660259528,0.851094276094276,0.6395000219345093,0.6193188428878784,0.629247656724458,0.7157236770541263,0.7894717596232612
B5_FullXGBoost,0.6560000777244568,0.31494149565696716,0.42556967209110846,0.6768378454697275,0.8138257575757575,0.5975000262260437,0.5722444653511047,0.5845995986200291,0.6630842584108191,0.7468384125409423
M1_MultiTaskNN,0.6930000185966492,0.3346410393714905,0.45133705480683417,0.7210277999079099,0.8520100502512563,0.6215000152587891,0.596479594707489,0.6087328082263389,0.6976178374537699,0.7799554201310153
