,precision@5,recall@5,f1@5,ndcg@5,map@5,discovery_rate@5,precision@10,recall@10,f1@10,ndcg@10,map@10,discovery_rate@10
Physical-only,0.33500000834465027,0.41487082839012146,0.3706817822771027,0.42429116602728556,0.6851070950468542,0.665,0.25450000166893005,0.6407960653305054,0.364309872199206,0.5091570081111528,0.5667325045310836,0.7455000000000002
Interest-only,0.32100000977516174,0.418774276971817,0.36342583837436776,0.40578874946893806,0.6288725490196079,0.679,0.2590000033378601,0.6616800427436829,0.37227945179694627,0.5030537219703982,0.520644735731172,0.741
Full XGBoost,0.3320000171661377,0.4216978847980499,0.3715114577590308,0.4290964158010766,0.677727576974565,0.6679999999999999,0.2640000283718109,0.6701733469963074,0.3787857487533487,0.5273082554068123,0.5490475230496239,0.736
Multi-task NN,0.35100001096725464,0.4544987082481384,0.3961000701642101,0.4672143012131935,0.6997567482736975,0.649,0.2760000228881836,0.7156462669372559,0.3983645904578984,0.568209994842436,0.5789530482331822,0.7240000000000001
NN + Discovery,0.14400000870227814,0.17879821360111237,0.15952345296806344,0.17067625011084808,0.4869082125603865,0.8560000000000001,0.12400000542402267,0.30337706208229065,0.17604480597428573,0.22198103017569032,0.3732817639067639,0.8760000000000001
